Coin ID,Valor del activo (en US$),Capitalización total de mercado (market cap),Volumen (volumen 24h),Porcentaje del volumen diario (volumen 24h / market cap),Suministro circulante (circulating supply),Suministro total (total supply),Suministro máximo (max supply),Posición en ranking,Categoría
28675,2.5264349172359753e-06,175385111.95452142,7915800.20128515,1.58220347,69420000000000.0,69420000000000.0,69420000000000.0,302.0,Presale Memes
27659,6.515297725401192e-07,254468087.44805783,17042332.47866578,7.24040127,390570159911439.0,390570159911439.0,420690000000000.0,246.0,Presale Memes
28179,0.007061641799024027,13387935.672219846,2520927.40851627,-10.6006683,1895867286.000001,1897361985.000001,2000000000.0,1011.0,Presale Memes
10269,0.0016104257354200926,4107930.171990931,250652.16518166,-13.22146053,2550834901.3805,2775346214.0,,1377.0,Presale Memes
10275,5.36343497550357e-10,18979472.417582627,1220075.19898215,0.18806808,3.53867857152508e+16,3.67840820070996e+16,1e+17,881.0,Presale Memes
29220,2.401309997579498e-07,101020710.2881719,2017945.11192957,12.47593131,420690000000000.0,420690000000000.0,420690000000000.0,428.0,Presale Memes
29743,0.041608815445627854,355956703.4287593,25053115.10771431,24.5247333,8554838671.0,9999998655.0,10000000000.0,224.0,Presale Memes
10804,0.0002023826988130883,1934274151.9232943,670795711.1673458,-8.5065355,9557507451314.82,9707612979439.803,,53.0,Presale Memes
23095,2.426403104318e-05,1548606101.6645427,455695871.2250945,-2.39889016,63823117391692.27,93082000358974.83,93082000358974.83,58.0,Presale Memes
29241,0.008036028548030262,55329778.01515186,141513227.20314276,-31.61633985,6885214218.0,6885214218.0,6885214218.0,578.0,Presale Memes
9286,401.3053062411495,42681800.27677938,1972397.52280252,0.16601521,106357.42815504,107536.18496834,,648.0,Presale Memes
74,0.1512186178586983,21823076484.772488,1663017287.9988832,-0.30446922,144314746383.70526,144314746383.70526,,9.0,Presale Memes
28752,2.8293550917360224,2826259760.9425673,878452107.9310493,-7.8765959,998905994.230807,998905994.230807,,40.0,Presale Memes
11865,0.6120327990519557,140720631.8491256,12148843.90750093,5.08964117,229923350.6228802,249999401.82484713,250000000.0,348.0,Presale Memes
30303,0.00038728253361647747,4066466.6029730137,161206.17858225,-0.78591898,10500000000.0,50000000000.0,100000000000.0,1378.0,Presale Memes
4704,0.005584449250377343,8769834.013272079,25727.69123765,-4.57505448,1570402670.0,1918861422.0,,1136.0,Presale Memes
27750,0.00035723456991987226,145776460.88300332,1476391.92714598,13.68272464,408069300000.0,420690000000.0,420690000000.0,339.0,Presale Memes
28782,0.483254067972551,473576027.9619657,68543822.62277748,-9.8836165,979973184.6,979973220.96,979973220.96,220.0,Presale Memes
29811,0.004804175005903476,4545806.542353314,3378675.80031927,-3.06753512,946220014.21,946220014.21,961584961.0,1346.0,Presale Memes
2165,0.08836736870293424,99734285.35528871,10476.80907775,68.41986905,1128632512.4217153,12999999994.06,,433.0,Presale Memes
29302,3.496995234109853e-05,2517843.462189646,1270521.09019117,-2.52268154,72000197130.11,95988542118.155,100000000000.0,1494.0,Presale Memes
28800,0.0022891989668590426,2164059.287251972,908804.42457216,-5.34031651,945334730.0,979977698.53,1000000000.0,1550.0,Presale Memes
28801,4.4760268368876e-11,17930579.005610667,7800620.51646938,1.63311555,4.005914097261909e+17,4.2e+17,4.2e+17,907.0,Presale Memes
25220,0.11365518387469702,113632243.14410783,2772606.99639458,-17.43048701,999798155.0,999798155.0,1000000000.0,393.0,Presale Memes
28805,7.989395555199849e-05,6557713.307365426,4736621.51631005,5.84730307,82080218235.0,99980594226.0,100000000000.0,1256.0,Presale Memes
28299,0.09757480266171602,97576733.56948589,13436192.92779914,3.54065228,1000019789.0,10000000000.0,10000000000.0,440.0,Presale Memes
27276,5.113244895984336e-08,23981118.562166534,3068800.33857754,-3.10278761,469000000000000.0,469000000000000.0,469000000000000.0,806.0,Presale Memes
28301,0.02480325360521338,450290529.76151955,91686053.80516954,-1.12783504,18154494443.699646,69000000000.0,69000000000.0,141.0,Presale Memes
29855,0.025131136131604264,24626378.692362636,2177309.81596891,41.56408388,979915056.9,1000000000.0,1000000000.0,799.0,Presale Memes
28836,0.0002256728533491603,15666209.479498709,767271.18534941,-1.58713517,69420000000.0,69420000000.0,69420000000.0,949.0,Presale Memes
29349,7.497771974880967,7497771.974880967,74679.37916629,3.06369826,1000000.0,1000000.0,,1204.0,Presale Memes
10407,1.674299371181883e-09,240745496.70858988,4692953.56440486,-1.36173946,1.4378879957330947e+17,2.0559827668910595e+17,,249.0,Presale Memes
9386,4.07603295084431e-10,37962580.07787778,1211260.03120683,-1.2441745,9.313609712113394e+16,9.670293841273085e+16,,677.0,Presale Memes
24747,7.847960429105524e-08,11883890.797978908,130762.91911942,7.73089453,151426487242538.0,156533918921921.0,,1053.0,Presale Memes
29870,0.011427537148202771,788115270.9375793,859838465.9698639,2.61999266,68966327627.43,68966327627.43,68966327627.43,95.0,Presale Memes
29358,0.055516490756225535,43247344.52257199,390352.61353033,11.20053036,778999968.0,1399999968.0,1399999968.31,647.0,Presale Memes
25264,0.001001416781669695,73339101.54260848,1045377.48295735,-2.13603749,73235343051.0,75605378154.0,,510.0,Presale Memes
10414,7.017399932936438e-07,2507232.825927323,199775.5047399,-0.40869852,3572880055132.0,5245959055814.6,10000000000000.0,1497.0,Presale Memes
8378,1.7536474377588065e-07,11937348.38269124,611112.18065614,-1.63647874,68071541209830.58,100000000000000.0,,1051.0,Presale Memes
30912,0.0072186835962123564,60802157.75001123,39343280.44496021,27.37142681,8422887212.0,8888887212.0,8888887212.0,552.0,Presale Memes
19650,4.133687693629612e-07,22638672.718808964,2329354.9744123,2.06121261,54766287142827.0,69000000000000.0,69000000000000.0,824.0,Presale Memes
30933,0.002173494022035506,217349402.2035506,6308966.648881,-3.96646478,100000000000.0,100000000000.0,100000000000.0,266.0,Presale Memes
213,0.3377418717267876,22199663.418981478,172100.24602013,0.90220621,65729674.871168,65729674.871168,105120000.0,830.0,Presale Memes
24793,1.269254436940407e-08,7376856.519995136,2006808.2259073,-0.30257804,581196039603956.0,690000000000000.0,690000000000000.0,1207.0,Presale Memes
9436,2.009515556810034e-07,110453579.24794127,8146242.65613104,12.26402706,549652770159583.3,1000000000000000.0,1000000000000000.0,400.0,Presale Memes
28382,0.1842148510911758,173936365.1799451,47008857.47005866,1.37713458,944203815.0,999981490.5,1000000000.0,303.0,Presale Memes
27872,8.956838693982329,394077229.6105543,19170993.19749632,9.488194,43997357.0,46502452.0,,223.0,Presale Memes
29920,0.29364795017928014,146823314.38175216,66919286.86468551,1.58245094,499997750.0,499997750.0,499997750.5,336.0,Presale Memes
28394,0.011233320828143762,71002710.43692608,16858693.5675319,-0.02661944,6320723099.0,6596450430.0,6900000000.0,518.0,Presale Memes
23794,0.2669212717551279,25366846.779051006,364764.95968701,-8.9299476,95034939.0,100000000.0,100000000.0,785.0,Presale Memes
8438,2.103888169521101e-05,8280493.495668118,19858.29266889,5.06111593,393580496132.2146,393580496132.2146,394686538323.85754,1159.0,Presale Memes
23802,9.120032676379127e-06,9120032.676379127,243825.31539844,4.8221097,1000000000000.0,1000000000000.0,,1125.0,Presale Memes
8977,8.137528148592406e-07,29240488.836613465,5527463.02713316,23.41816071,35932888099037.0,35932888099037.0,999999999999999.0,749.0,Presale Memes
