Coin ID,Valor del activo (en US$),Capitalización total de mercado (market cap),Volumen (volumen 24h),Porcentaje del volumen diario (volumen 24h / market cap),Suministro circulante (circulating supply),Suministro total (total supply),Suministro máximo (max supply),Posición en ranking,Categoría
28675,2.5264349172359758e-06,175385111.95452142,7915800.20128515,1.58220347,15683307747.5,48707481931.09895,23499511997.5,302.0,Presale Memes
27659,6.515297725401192e-07,254468087.44805783,17042332.47866578,7.24040127,15683307747.5,48707481931.09895,23499511997.5,246.0,Presale Memes
28179,0.007061641799024,13387935.672219846,2520927.40851627,-10.4081555275,1895867286.000001,1897361985.000001,2000000000.0,1011.0,Presale Memes
10269,0.00161042573542,4107930.171990931,250652.16518166,-10.4081555275,2550834901.3805,2775346214.0,1000000000.0,1377.0,Presale Memes
10275,5.36343497550357e-10,18979472.417582627,1220075.19898215,0.18806808,15683307747.5,48707481931.09895,23499511997.5,881.0,Presale Memes
29220,2.401309997579498e-07,101020710.2881719,2017945.11192957,10.6260658125,15683307747.5,48707481931.09895,23499511997.5,428.0,Presale Memes
29743,0.0416088154456278,343014681.7581861,25053115.10771431,10.6260658125,8554838671.0,9999998655.0,10000000000.0,224.0,Presale Memes
10804,0.000202382698813,343014681.7581861,29341435.916718155,-8.5065355,15683307747.5,48707481931.09895,1000000000.0,53.0,Presale Memes
23095,2.426403104318e-05,343014681.7581861,29341435.916718155,-2.39889016,15683307747.5,48707481931.09895,23499511997.5,58.0,Presale Memes
29241,0.0080360285480302,55329778.01515186,29341435.916718155,-10.4081555275,6885214218.0,6885214218.0,6885214218.0,578.0,Presale Memes
9286,1.1072438720426239,42681800.27677938,1972397.52280252,0.16601521,106357.42815504,107536.18496834,1000000000.0,648.0,Presale Memes
74,0.1512186178586983,343014681.7581861,29341435.916718155,-0.30446922,15683307747.5,48707481931.09895,1000000000.0,9.0,Presale Memes
28752,1.1072438720426239,343014681.7581861,29341435.916718155,-7.8765959,998905994.230807,998905994.230807,1000000000.0,40.0,Presale Memes
11865,0.6120327990519557,140720631.8491256,12148843.90750093,5.08964117,229923350.6228802,249999401.82484716,250000000.0,348.0,Presale Memes
30303,0.0003872825336164,4066466.6029730137,161206.17858225,-0.78591898,10500000000.0,48707481931.09895,23499511997.5,1378.0,Presale Memes
4704,0.0055844492503773,8769834.013272079,25727.69123765,-4.57505448,1570402670.0,1918861422.0,1000000000.0,1136.0,Presale Memes
27750,0.0003572345699198,145776460.88300332,1476391.92714598,10.6260658125,15683307747.5,48707481931.09895,23499511997.5,339.0,Presale Memes
28782,0.483254067972551,343014681.7581861,29341435.916718155,-9.8836165,979973184.6,979973220.96,979973220.96,220.0,Presale Memes
29811,0.0048041750059034,4545806.542353314,3378675.80031927,-3.06753512,946220014.21,946220014.21,961584961.0,1346.0,Presale Memes
2165,0.0883673687029342,99734285.35528871,10476.80907775,10.6260658125,1128632512.4217153,12999999994.06,1000000000.0,433.0,Presale Memes
29302,3.496995234109853e-05,2517843.462189646,1270521.09019117,-2.52268154,15683307747.5,48707481931.09895,23499511997.5,1494.0,Presale Memes
28800,0.002289198966859,2164059.287251972,908804.42457216,-5.34031651,945334730.0,979977698.53,1000000000.0,1550.0,Presale Memes
28801,4.4760268368876e-11,17930579.005610667,7800620.51646938,1.63311555,15683307747.5,48707481931.09895,23499511997.5,907.0,Presale Memes
25220,0.113655183874697,113632243.14410783,2772606.99639458,-10.4081555275,999798155.0,999798155.0,1000000000.0,393.0,Presale Memes
28805,7.989395555199849e-05,6557713.307365426,4736621.51631005,5.84730307,15683307747.5,48707481931.09895,23499511997.5,1256.0,Presale Memes
28299,0.097574802661716,97576733.56948587,13436192.92779914,3.54065228,1000019789.0,10000000000.0,10000000000.0,440.0,Presale Memes
27276,5.1132448959843364e-08,23981118.56216653,3068800.33857754,-3.10278761,15683307747.5,48707481931.09895,23499511997.5,806.0,Presale Memes
28301,0.0248032536052133,343014681.7581861,29341435.916718155,-1.12783504,15683307747.5,48707481931.09895,23499511997.5,141.0,Presale Memes
29855,0.0251311361316042,24626378.69236264,2177309.81596891,10.6260658125,979915056.9,1000000000.0,1000000000.0,799.0,Presale Memes
